style_code,mikesport_product,adidas_product,mikesport_price_original,mikesport_currency,adidas_price_original,adidas_currency,mikesport_price_usd,adidas_price_usd,mikesport_price_lbp,adidas_price_lbp,same_price,cheaper_retailer,more_expensive_retailer,price_relation,price_diff_usd,price_diff_lbp
KC8645,Adidas 3 Stripes Flared Kids-Girls Original Tight Black,"Kids 3 Stripes Flared Leggings, Black",48.0,USD,4230000.0,LBP,48.0,47.0,4320000.0,4230000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD0986,Adidas Minecraft Training Kids-Boys Sportswear Short Silver Green,"Kids Unisex Adidas Minecraft Training Short, Green",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD2182,Adidas Linear Essential Graphic Pouch Women Training Bag Earth Strata,"Linear Essential Graphic Pouch, Brown",29.0,USD,2520000.0,LBP,29.0,28.0,2610000.0,2520000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD2949,Adidas Workout Essentials Base Woven Men Training Short Grey Five,"Workout Essentials Base Woven Short, Grey",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD2962,Adidas Workout Essentials Base Woven Men Training Short Dusky Petrol,"Workout Essentials Base Woven Short, Blue",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD3660,Adidas Firebird Loose Track Women Original Pant Stone Khaki,"Firebird Loose Track Tracksuit Bottoms, Beige",128.0,USD,11340000.0,LBP,128.0,126.0,11520000.0,11340000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
KD5929,Adidas Collegate Kids-Girls Sportswear T-Shirt Purple,"Kids Seasonals Collegiate Typography T-Shirt, Purple",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD7810,Adidas Adicolor Classic Women Original Backpack Aurora Coffee,"Unisex Adicolor Classic Backpack, Brown",48.0,USD,4230000.0,LBP,48.0,47.0,4320000.0,4230000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KD8477,Adidas Z.N.E. Woven Women Sportswear Pant Black,"Adidas Z.N.E. Woven Pant, Black",137.0,USD,12150000.0,LBP,137.0,135.0,12330000.0,12150000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
KD8825,Adidas Sst Loose Women Original Track Top Stone Khaki,"Sst Loose Tracktop, Beige",128.0,USD,11340000.0,LBP,128.0,126.0,11520000.0,11340000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
KE0901,Adidas Adicolor Trefoil Men Original T-Shirt White/Black,"Adicolor Trefoil T-Shirt, White",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KE9936,Adidas D4T Primelift 3 Stripes Men Training T-Shirt Charcoal,"D4T Primelift 3 Stripes T-Shirt, Brown",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KE9937,Adidas D4T Power 3 Stripes Men Training T-Shirt Black,"D4T Primelift 3 Stripes T-Shirt, Black",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KF0577,Adidas Z.N.E. Woven Men Sportswear Pant Dusky Petrol,"Adidas Z.N.E. Woven Pant, Blue",137.0,USD,12150000.0,LBP,137.0,135.0,12330000.0,12150000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
KF0578,Adidas Z.N.E. Woven Women Sportswear Pant Dusky Petrol,"Adidas Z.N.E. Woven Pant, Blue",137.0,USD,12150000.0,LBP,137.0,135.0,12330000.0,12150000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
KF0714,Adidas Audi Revolut F1 Team Baseball Unisex Motor-Sport Cap Chalk Pearl,"Unisex Audi Formula One Team Baseball Cap, Grey",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KI6961,Adidas Adizero Evo Sl Women Running Shoes Alumina/Putty Beige,"Adizero EVO SL Shoes, Beige",223.0,USD,19980000.0,LBP,223.0,222.0,20070000.0,19980000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KJ1995,Adidas Adizero Evo Sl Men Running Shoes Carbon/Lucid Orange,"Adizero EVO SL Shoes, Grey",223.0,USD,19980000.0,LBP,223.0,222.0,20070000.0,19980000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KR2249,Adidas Future Icons 3 Stripes Wide Leg Kids-Girls Sportswear Pant Black,"Kids Future Icons 3 Stripes Wide Leg Tracksuit Bottoms, Black",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
